rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
316,https://www.afriquesports.net/article-du-jour/huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,fr,article-du-jour,55,4498,1.22,7.2,871945,"Huitièmes de finale de la CAN 2025 : calendrier officiel, dates et heures des matchs",true,2026-01-01,
318,https://www.afriquesports.net/football/camavinga-renvoie-moussa-sissoko-lagent-dousmane-dembele-les-raisons-incroyables-revelees,camavinga-renvoie-moussa-sissoko-lagent-dousmane-dembele-les-raisons-incroyables-revelees,fr,football,55,4368,1.26,13.5,669563,"Camavinga renvoie Moussa Sissoko (l&rsquo;agent d&rsquo;Ousmane Dembélé), les raisons incroyables révélées",true,2025-12-27,
319,https://www.afriquesports.net/football/real-madrid-3-joueurs-touches-par-le-virus-fifa,real-madrid-3-joueurs-touches-par-le-virus-fifa,fr,football,55,3357,1.64,4.6,863275,Real Madrid : 3 joueurs touchés par le virus FIFA !,true,2025-12-30,
321,https://www.afriquesports.net/afrique/rennes-le-sort-dhabib-beye-bientot-scelle-son-remplacant-connu,rennes-le-sort-dhabib-beye-bientot-scelle-son-remplacant-connu,fr,afrique,54,898,6.01,7.0,862869,"Rennes : le sort d’Habib Beye bientôt scellé, son remplaçant connu ?",true,2025-12-27,
322,https://www.afriquesports.net/europe/triste-nouvelle-une-legende-du-barca-raccroche-les-crampons,triste-nouvelle-une-legende-du-barca-raccroche-les-crampons,fr,europe,54,2605,2.07,5.3,862579,Triste nouvelle : une légende du Barça raccroche les crampons,true,2026-01-01,
323,https://www.afriquesports.net/football/caf-une-grande-nation-officiellement-exclue-des-barrages-pour-la-coupe-du-monde,caf-une-grande-nation-officiellement-exclue-des-barrages-pour-la-coupe-du-monde,fr,football,54,901,5.99,7.9,863577,La CAF prend une sanction sans précédent et exclut officiellement une grande nation des barrages,true,2026-01-01,
325,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-voici-les-5-clubs-en-lice-pour-le-titre-de-club-de-lannee,ballon-dor-2025-voici-les-5-clubs-en-lice-pour-le-titre-de-club-de-lannee,fr,ballon-dor,53,1188,4.46,43.7,855455,Ballon d&rsquo;Or 2025 : voici les 5 clubs en lice pour le titre de club de l&rsquo;année,true,2026-01-01,
327,https://www.afriquesports.net/classement/sadio-mane-ronaldo-mbappe-le-top-10-des-footballeurs-les-mieux-payes-au-monde,sadio-mane-ronaldo-mbappe-le-top-10-des-footballeurs-les-mieux-payes-au-monde,fr,classement,53,5358,0.99,8.3,863762,"Sadio Mané, Ronaldo, Mbappé… Le Top 10 des footballeurs les mieux payés au monde !",true,2026-01-02,
328,https://www.afriquesports.net/europe/cancelo-souvre-sur-le-deces-tragique-de-sa-mere-dans-une-interview-emouvante,cancelo-souvre-sur-le-deces-tragique-de-sa-mere-dans-une-interview-emouvante,fr,europe,53,1378,3.85,15.1,463668,Cancelo s&rsquo;ouvre sur le décès tragique de sa mère dans une interview émouvante,true,2026-01-02,
330,https://www.afriquesports.net/football/carriere-reussie-les-statistiques-ont-tranche-entre-benzema-et-le-zeus-zlatan-ibrahimovic,carriere-reussie-les-statistiques-ont-tranche-entre-benzema-et-le-zeus-zlatan-ibrahimovic,fr,football,53,630,8.41,23.6,659731,"Carrière réussie, les statistiques ont tranché entre Benzema et le « Zeus » Zlatan Ibrahimovic !",true,2026-01-01,
