rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
367,https://www.afriquesports.net/afrique/cote-divoire/la-tension-monte-la-federation-ivoirienne-et-manchester-united-discutent-pour-amad-diallo,la-tension-monte-la-federation-ivoirienne-et-manchester-united-discutent-pour-amad-diallo,fr,afrique,48,871,5.51,6.3,869711,La tension monte : la Fédération ivoirienne et Manchester United discutent pour Amad Diallo !,true,2026-01-01,
376,https://www.afriquesports.net/afrique/senegal/rdc-senegal-la-fifa-sort-du-silence-apres-les-incidents-au-stade-des-martyrs,rdc-senegal-la-fifa-sort-du-silence-apres-les-incidents-au-stade-des-martyrs,fr,afrique,47,557,8.44,6.8,859494,RDC – Sénégal : la FIFA sort du silence après les incidents au Stade des Martyrs,true,2026-01-02,
387,https://www.afriquesports.net/afrique/senegal/ballon-dor-africain-2025-guirassy-2e-mbeumo-10e-salahle-top-10-qui-fait-debat,ballon-dor-africain-2025-guirassy-2e-mbeumo-10e-salahle-top-10-qui-fait-debat,fr,afrique,46,3546,1.30,29.0,846319,"Ballon d’or africain 2025 : Guirassy 2è, Mbeumo 10è, Salah…le top 10 qui fait débat !",true,2026-01-02,
402,https://www.afriquesports.net/afrique/senegal/fortune-kalidou-koulibaly-est-devenu-ultra-riche-les-chiffres-ont-parle,fortune-kalidou-koulibaly-est-devenu-ultra-riche-les-chiffres-ont-parle,fr,afrique,44,675,6.52,9.7,805479,"Fortune : Kalidou Koulibaly est devenu ultra riche, les chiffres ont parlé",true,2025-12-30,
408,https://www.afriquesports.net/afrique/senegal/can-2025-absent-de-la-liste-abdou-diallo-brise-le-silence,can-2025-absent-de-la-liste-abdou-diallo-brise-le-silence,fr,afrique,43,1405,3.06,4.4,869978,"CAN 2025 : Absent de la liste, Abdou Diallo brise le silence !",true,2025-12-31,
418,https://www.afriquesports.net/afrique/cameroun/decision-forte-de-la-fifa-pour-le-cap-vert-apres-le-match-contre-le-cameroun,decision-forte-de-la-fifa-pour-le-cap-vert-apres-le-match-contre-le-cameroun,fr,afrique,42,996,4.22,10.6,861545,Décision forte de la FIFA pour le Cap-Vert après le match contre le Cameroun,true,2026-01-01,
420,https://www.afriquesports.net/afrique/cote-divoire/la-reaction-dechirante-de-nicolas-pepe-apres-sa-non-convocation-pour-la-can,la-reaction-dechirante-de-nicolas-pepe-apres-sa-non-convocation-pour-la-can,fr,afrique,42,1852,2.27,4.1,869704,La réaction déchirante de Nicolas Pépé après sa non convocation pour la CAN,true,2025-12-27,
421,https://www.afriquesports.net/afrique/senegal/triste-nouvelle-la-federation-senegalaise-annonce-le-deces-de-le-monde-du-football-en-deuil,triste-nouvelle-la-federation-senegalaise-annonce-le-deces-de-le-monde-du-football-en-deuil,fr,afrique,42,675,6.22,8.7,860425,"Triste nouvelle : la Fédération sénégalaise annonce le décès de …, Le monde du football en deuil",true,2025-12-29,
432,https://www.afriquesports.net/afrique/senegal/deces-de-cheikh-toure-une-annonce-inattendue-vient-de-tomber,deces-de-cheikh-toure-une-annonce-inattendue-vient-de-tomber,fr,afrique,41,750,5.47,3.9,864117,Décès de Cheikh Touré : une annonce inattendue vient de tomber,true,2025-12-25,
434,https://www.afriquesports.net/afrique/senegal/le-match-senegal-mauritanie-menace-pour-une-raison-inquietante,le-match-senegal-mauritanie-menace-pour-une-raison-inquietante,fr,afrique,41,12355,0.33,7.0,862902,Le match Sénégal – Mauritanie menacé pour une raison inquiétante,true,2026-01-02,
443,https://www.afriquesports.net/football/foot/les-15-footballeurs-les-plus-riches-du-monde-en-2019-photos,les-15-footballeurs-les-plus-riches-du-monde-en-2019-photos,fr,football,41,1819,2.25,18.1,186649,Les 15 footballeurs les plus riches du monde en 2019 (Photos),true,2025-12-27,
446,https://www.afriquesports.net/afrique-sports-tv/video-but-gag-yann-sommer-marque-contre-son-camp-apres-une-frappe-surpuissante-de-raphinha,video-but-gag-yann-sommer-marque-contre-son-camp-apres-une-frappe-surpuissante-de-raphinha,fr,afrique-sports-tv,40,573,6.98,22.0,846959,VIDEO : But gag ! Yann Sommer marque contre son camp après une frappe surpuissante de Raphinha,true,2025-12-30,
447,https://www.afriquesports.net/afrique/cameroun/fortune-lhotel-a-douala-le-yacht-la-richesse-de-zambo-anguissa-devoilee,fortune-lhotel-a-douala-le-yacht-la-richesse-de-zambo-anguissa-devoilee,fr,afrique,40,1337,2.99,16.1,810003,"Fortune : L&rsquo;hôtel à Douala, le yacht.. la richesse de Zambo Anguissa dévoilée",true,2025-12-29,
456,https://www.afriquesports.net/afrique-sports-tv/lamine-yamal-fait-le-break-pour-le-barca-video,lamine-yamal-fait-le-break-pour-le-barca-video,fr,afrique-sports-tv,39,4062,0.96,2.6,870606,Lamine Yamal fait le break pour le Barça (VIDEO),true,2026-01-02,
467,https://www.afriquesports.net/foot/can-2025-habib-diarra-et-sunderland-confrontes-a-un-retournement-de-situation-inattendu,can-2025-habib-diarra-et-sunderland-confrontes-a-un-retournement-de-situation-inattendu,fr,foot,39,3269,1.19,8.5,870171,CAN 2025 : Habib Diarra et Sunderland confrontés à un retournement de situation inattendu,true,2026-01-02,
472,https://www.afriquesports.net/afrique/choc-dramatique-un-international-togolais-risque-un-handicap-a-vie,choc-dramatique-un-international-togolais-risque-un-handicap-a-vie,fr,afrique,38,504,7.54,4.0,862801,Choc dramatique : un international togolais risque un handicap à vie,true,2025-12-26,
474,https://www.afriquesports.net/afrique/rdc/can-2025-mauvaise-nouvelle-pour-aaron-wan-bissaka-et-la-rdc,can-2025-mauvaise-nouvelle-pour-aaron-wan-bissaka-et-la-rdc,fr,afrique,38,929,4.09,10.1,862401,CAN 2025 : mauvaise nouvelle pour Aaron Wan-Bissaka et la RDC !,true,2025-12-25,
475,https://www.afriquesports.net/afrique/rdc/can-2025-vincent-kompany-surprend-tout-le-monde-et-soutient-ce-pays,can-2025-vincent-kompany-surprend-tout-le-monde-et-soutient-ce-pays,fr,afrique,38,2675,1.42,3.2,869881,CAN 2025 : Vincent Kompany surprend tout le monde et soutient ce pays !,true,2025-12-25,
476,https://www.afriquesports.net/afrique/senegal/equipe-nationale-pape-thiaw-a-tranche-sa-liste-est-deja-bouclee-malgre-la-tempete,equipe-nationale-pape-thiaw-a-tranche-sa-liste-est-deja-bouclee-malgre-la-tempete,fr,afrique,38,611,6.22,10.2,869656,"Équipe nationale : Pape Thiaw a tranché, sa liste est déjà bouclée malgré la tempête",true,2026-01-02,
477,https://www.afriquesports.net/afrique/senegal/la-rdc-risque-gros-apres-les-incidents-contre-les-lions-ce-que-prepare-la-caf,la-rdc-risque-gros-apres-les-incidents-contre-les-lions-ce-que-prepare-la-caf,fr,afrique,38,563,6.75,20.2,858651,"La RDC risque gros après les incidents contre les Lions, ce que prépare la CAF",true,2026-01-01,
479,https://www.afriquesports.net/afrique/senegal/verdict-de-la-fifa-le-senegal-depasse-bonne-nouvelle-en-vue-pour-la-rdc,verdict-de-la-fifa-le-senegal-depasse-bonne-nouvelle-en-vue-pour-la-rdc,fr,afrique,38,1441,2.64,9.6,810420,"Verdict de la FIFA : Le Sénégal dépassé, bonne nouvelle en vue pour la RDC",true,2025-12-27,
488,https://www.afriquesports.net/football/foot/quand-le-real-madrid-et-latletico-ont-joue-dans-le-meme-stade,quand-le-real-madrid-et-latletico-ont-joue-dans-le-meme-stade,fr,football,38,1336,2.84,7.8,263438,Quand le Real Madrid et l&rsquo;Atletico ont joué dans le même stade,true,2025-12-31,
499,https://www.afriquesports.net/football/duel-des-surcotes-les-chiffres-tranchent-entre-adebayor-et-aubameyang,duel-des-surcotes-les-chiffres-tranchent-entre-adebayor-et-aubameyang,fr,football,37,344,10.76,10.3,580644,"Duel des surcotés, les chiffres tranchent entre Adebayor et Aubameyang",true,2026-01-01,
