rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image,is_working
101,https://www.afriquesports.net/foot/ayoub-bouaddi-lions-atlas,ayoub-bouaddi-lions-atlas,fr,foot,166,4257,3.90,4.1,,,,,,False
103,https://www.afriquesports.net/football/can-2025-six-joueurs-font-un-retour-inattendu-en-s-af-1766478659291,can-2025-six-joueurs-font-un-retour-inattendu-en-s-af-1766478659291,fr,football,163,1194,13.65,5.1,,,,,,False
104,https://www.afriquesports.net/football/can-2025-mali-et-zambie-les-compositions-officiell-af-1766408461828,can-2025-mali-et-zambie-les-compositions-officiell-af-1766408461828,fr,football,162,79474,0.20,6.1,,,,,,False
112,https://www.afriquesports.net/football/classement-des-meilleurs-gardiens-du-21e-siecle-afrique-sports,classement-des-meilleurs-gardiens-du-21e-siecle-afrique-sports,fr,football,143,1810,7.90,33.1,,,,,,False
113,https://www.afriquesports.net/europe/van-dijk-11e-thiago-silva-9e-maldini-3e-voici-les-meilleurs-defenseurs-du-21e-siecle-afrique-sports,van-dijk-11e-thiago-silva-9e-maldini-3e-voici-les-meilleurs-defenseurs-du-21e-siecle-afrique-sports,fr,europe,141,508,27.76,5.0,,,,,,False
117,https://www.afriquesports.net/football/coupe-du-monde-champion-du-monde-sans-jouer-voici-les-joueurs-qui-ont-realise-cet-exploit,coupe-du-monde-champion-du-monde-sans-jouer-voici-les-joueurs-qui-ont-realise-cet-exploit,fr,football,137,1740,7.87,7.7,,,,,,False
141,https://www.afriquesports.net/football/can-2025-maroc-comores-match-ouverture,can-2025-maroc-comores-match-ouverture,fr,football,119,13886,0.86,5.9,,,,,,False
142,https://www.afriquesports.net/football/video-le-coup-franc-lamentable-de-kylian-mbappe-contre-osasuna-amuse-la-toile,video-le-coup-franc-lamentable-de-kylian-mbappe-contre-osasuna-amuse-la-toile,fr,football,119,1113,10.69,14.3,,,,,,False
143,https://www.afriquesports.net/afrique/senegal/krepin-diatta-se-lache-sur-la-hausse-des-billets-pour-senegal-mauritanie,krepin-diatta-se-lache-sur-la-hausse-des-billets-pour-senegal-mauritanie,fr,afrique,118,7358,1.60,3.6,,,,,,False
147,https://www.afriquesports.net/afrique/can-2025-les-premieres-listes-tombent-les-choix-font-deja-debat,can-2025-les-premieres-listes-tombent-les-choix-font-deja-debat,fr,afrique,115,2406,4.78,9.6,,,,,,False
151,https://www.afriquesports.net/football/can-2025-regragui-clarifie-letat-de-saiss-hakimi-e-af-1766660421954,can-2025-regragui-clarifie-letat-de-saiss-hakimi-e-af-1766660421954,fr,football,112,2341,4.78,4.2,,,,,,False
